,prediction_id,truth_id,IoU,score,geometry,predicted_label,true_label,image_path,match
19,21,19,0.4576571832822451,0.3957656,"POLYGON ((150 42, 150 81, 112 81, 112 42, 150 42))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
20,6,20,0.2399837713910967,0.7750391,"POLYGON ((303 442, 303 509, 233 509, 233 442, 303 442))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,False
0,0,0,0.7303015154813967,0.88606155,"POLYGON ((457 94, 457 161, 391 161, 391 94, 457 94))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,True
1,1,1,0.4796008430113477,0.46213144,"POLYGON ((799 571, 799 615, 766 615, 766 571, 799 571))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,True
2,3,2,0.2806354306973853,0.17866212,"POLYGON ((799 301, 799 346, 762 346, 762 301, 799 301))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
3,4,3,0.8982336408191527,0.15123792,"POLYGON ((369 656, 369 670, 352 670, 352 656, 369 656))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,True
4,6,4,0.6739097457379103,0.13705859,"POLYGON ((383 480, 383 495, 365 495, 365 480, 383 480))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,True
5,10,5,0.31024331972829544,0.12080062,"POLYGON ((63 288, 63 305, 42 305, 42 288, 63 288))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
6,2,6,0.0,0.2225811,"POLYGON ((539 78, 539 105, 514 105, 514 78, 539 78))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
7,7,7,0.0,0.13610771,"POLYGON ((126 318, 126 339, 105 339, 105 318, 126 318))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
8,8,8,0.0,0.13581173,"POLYGON ((254 397, 254 415, 237 415, 237 397, 254 397))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
9,9,9,0.0,0.12165844,"POLYGON ((314 437, 314 455, 297 455, 297 437, 314 437))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
10,5,10,0.0,0.14317834,"POLYGON ((444 518, 444 533, 432 533, 432 518, 444 518))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
11,11,11,0.0,0.117703095,"POLYGON ((295 617, 295 628, 283 628, 283 617, 295 617))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
12,12,12,0.0,0.11403885,"POLYGON ((234 577, 234 589, 222 589, 222 577, 234 577))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
13,13,13,0.0,0.11168371,"POLYGON ((175 542, 175 554, 162 554, 162 542, 175 542))",Tree,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
14,,14,0.0,,"POLYGON ((50 458, 50 478, 26 478, 26 458, 50 458))",,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
15,,15,0.0,,"POLYGON ((84 673, 84 685, 72 685, 72 673, 84 673))",,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
16,,16,0.0,,"POLYGON ((217 751, 217 769, 199 769, 199 751, 217 751))",,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
17,,17,0.0,,"POLYGON ((281 792, 281 798, 260 798, 260 792, 281 792))",,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
18,,18,0.0,,"POLYGON ((108 502, 108 519, 90 519, 90 502, 108 502))",,Tree,45f03275-zz_23_676947.81_4848184.28.png,False
0,12,0,0.3255329256523698,0.3330135,"POLYGON ((54 41, 54 222, 0 222, 0 41, 54 41))",Tree,Tree,477f7b3b-zz_23_676547.81_4847704.28.png,False
1,2,1,0.13170633777683105,0.63947916,"POLYGON ((168 443, 168 796, 36 796, 36 443, 168 443))",Tree,Tree,477f7b3b-zz_23_676547.81_4847704.28.png,False
2,9,2,0.09226272086360156,0.3625237,"POLYGON ((644 556, 644 787, 568 787, 568 556, 644 556))",Tree,Tree,477f7b3b-zz_23_676547.81_4847704.28.png,False
3,11,3,0.12815453411848643,0.3440259,"POLYGON ((624 446, 624 514, 550 514, 550 446, 624 446))",Tree,Tree,477f7b3b-zz_23_676547.81_4847704.28.png,False
4,0,4,0.14479855284950782,0.70198524,"POLYGON ((796 125, 796 331, 592 331, 592 125, 796 125))",Tree,Tree,477f7b3b-zz_23_676547.81_4847704.28.png,False
0,0,0,0.9595548471911421,0.99448544,"POLYGON ((441 413, 441 515, 332 515, 332 413, 441 413))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
1,1,1,0.9720385184557231,0.9796555,"POLYGON ((490 538, 490 622, 393 622, 393 538, 490 538))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
2,2,2,0.9667679454970199,0.9701772,"POLYGON ((665 270, 665 353, 575 353, 575 270, 665 270))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
3,3,3,0.923145001008821,0.96301776,"POLYGON ((395 661, 395 712, 338 712, 338 661, 395 661))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
4,4,4,0.9778257277156772,0.9497377,"POLYGON ((790 478, 790 561, 701 561, 701 478, 790 478))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
5,5,5,0.9497735057547593,0.94424134,"POLYGON ((631 26, 631 82, 575 82, 575 26, 631 26))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
6,6,6,0.9735322804552479,0.8964274,"POLYGON ((284 483, 284 577, 187 577, 187 483, 284 483))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
7,7,7,0.9560798273389282,0.8913353,"POLYGON ((47 661, 47 703, 10 703, 10 661, 47 661))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
8,8,8,0.9684214133301274,0.8618861,"POLYGON ((374 606, 374 662, 313 662, 313 606, 374 606))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
9,9,9,0.9745256955092165,0.8551699,"POLYGON ((546 637, 546 707, 469 707, 469 637, 546 637))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
10,10,10,0.9554536453752214,0.7768906,"POLYGON ((621 755, 621 795, 534 795, 534 755, 621 755))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
11,11,11,0.9863495915634231,0.7670959,"POLYGON ((779 306, 779 446, 639 446, 639 306, 779 306))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
12,12,12,0.8353404938456357,0.7541716,"POLYGON ((613 86, 613 116, 585 116, 585 86, 613 86))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
13,13,13,0.9330266190726915,0.71774757,"POLYGON ((551 712, 551 739, 520 739, 520 712, 551 712))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
14,14,14,0.9527336630149574,0.6223956,"POLYGON ((311 551, 311 585, 273 585, 273 551, 311 551))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
15,15,15,0.9748811586435403,0.35653514,"POLYGON ((315 609, 315 652, 276 652, 276 609, 315 609))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
16,16,16,0.8877819749537711,0.35104153,"POLYGON ((454 95, 454 112, 436 112, 436 95, 454 95))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
17,17,17,0.9270230887072893,0.2835536,"POLYGON ((800 648, 800 695, 780 695, 780 648, 800 648))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
18,18,18,0.42838723763121156,0.27038082,"POLYGON ((417 739, 417 762, 395 762, 395 739, 417 739))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
19,19,19,0.9181667535767853,0.18079542,"POLYGON ((486 512, 486 539, 458 539, 458 512, 486 512))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
20,21,20,0.26657227570594216,0.17755367,"POLYGON ((732 117, 732 131, 719 131, 719 117, 732 117))",Tree,Tree,5ad87a7e-patch_65200_31000.png,False
21,23,21,0.9084747239766366,0.16049956,"POLYGON ((47 709, 47 730, 20 730, 20 709, 47 709))",Tree,Tree,5ad87a7e-patch_65200_31000.png,True
22,20,22,0.0,0.17924647,"POLYGON ((768 732, 768 772, 720 772, 720 732, 768 732))",Tree,Tree,5ad87a7e-patch_65200_31000.png,False
23,22,23,0.0,0.17057605,"POLYGON ((732 752, 732 795, 679 795, 679 752, 732 752))",Tree,Tree,5ad87a7e-patch_65200_31000.png,False
0,0,0,0.5791526613757014,0.35428473,"POLYGON ((629 348, 629 372, 606 372, 606 348, 629 348))",Tree,Tree,866e85cb-patch_68800_36200.png,True
1,1,1,0.3995513332076371,0.2091981,"POLYGON ((548 177, 548 199, 528 199, 528 177, 548 177))",Tree,Tree,866e85cb-patch_68800_36200.png,False
0,0,0,0.9551683940896853,0.98789424,"POLYGON ((365 208, 365 318, 252 318, 252 208, 365 208))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
1,1,1,0.9843979393032334,0.98488563,"POLYGON ((387 322, 387 405, 308 405, 308 322, 387 322))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
2,2,2,0.7312715507812497,0.98153186,"POLYGON ((299 335, 299 459, 188 459, 188 335, 299 335))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
3,3,3,0.9797409571775617,0.9731957,"POLYGON ((610 238, 610 325, 524 325, 524 238, 610 238))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
4,4,4,0.6966722349092174,0.9699827,"POLYGON ((734 656, 734 740, 652 740, 652 656, 734 656))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
5,5,5,0.969499663506571,0.9631394,"POLYGON ((496 345, 496 439, 396 439, 396 345, 496 345))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
6,6,6,0.9646613843640862,0.9537266,"POLYGON ((209 417, 209 498, 135 498, 135 417, 209 417))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
7,7,7,0.9837482411572342,0.94890094,"POLYGON ((162 469, 162 580, 51 580, 51 469, 162 469))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
8,8,8,0.8315672793740275,0.94815063,"POLYGON ((538 432, 538 515, 467 515, 467 432, 538 432))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
9,9,9,0.6576731985421069,0.9433908,"POLYGON ((424 87, 424 231, 278 231, 278 87, 424 87))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
10,10,10,0.8334991926345827,0.9347228,"POLYGON ((532 205, 532 279, 453 279, 453 205, 532 205))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
11,11,11,0.3298899417092104,0.9107487,"POLYGON ((789 416, 789 567, 683 567, 683 416, 789 416))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,False
12,12,12,0.5801488146400795,0.8556167,"POLYGON ((241 120, 241 165, 189 165, 189 120, 241 120))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
13,13,13,0.6630054359577493,0.8453069,"POLYGON ((679 345, 679 485, 555 485, 555 345, 679 345))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
14,14,14,0.7051531805566954,0.84378403,"POLYGON ((262 741, 262 776, 225 776, 225 741, 262 741))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
15,15,15,0.7525538705805895,0.7665329,"POLYGON ((278 664, 278 732, 215 732, 215 664, 278 664))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
16,16,16,0.9090859719039031,0.73395485,"POLYGON ((68 761, 68 798, 28 798, 28 761, 68 761))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
17,17,17,0.8454922991757671,0.7242108,"POLYGON ((76 538, 76 645, 0 645, 0 538, 76 538))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
18,18,18,0.7351922048790467,0.7040563,"POLYGON ((738 758, 738 797, 670 797, 670 758, 738 758))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
19,19,19,0.7574258146584609,0.56337786,"POLYGON ((243 183, 243 218, 206 218, 206 183, 243 183))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
20,20,20,0.9626477602791338,0.55102056,"POLYGON ((498 295, 498 355, 430 355, 430 295, 498 295))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
21,21,21,0.6540520150785931,0.5378435,"POLYGON ((73 644, 73 694, 31 694, 31 644, 73 644))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
22,22,22,0.9347951219669604,0.50395936,"POLYGON ((105 704, 105 738, 67 738, 67 704, 105 704))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
23,23,23,0.2762890705545722,0.34998596,"POLYGON ((498 741, 498 797, 407 797, 407 741, 498 741))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,False
24,24,24,0.5131422023084712,0.34379703,"POLYGON ((791 281, 791 315, 758 315, 758 281, 791 281))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
25,27,25,0.7041034060206124,0.24217145,"POLYGON ((799 3, 799 42, 782 42, 782 3, 799 3))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
26,28,26,0.5740717662429656,0.21495353,"POLYGON ((293 506, 293 520, 275 520, 275 506, 293 506))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
27,29,27,0.6335475783412075,0.20363466,"POLYGON ((196 259, 196 291, 165 291, 165 259, 196 259))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
28,30,28,0.26722210295864246,0.18382864,"POLYGON ((573 772, 573 798, 512 798, 512 772, 573 772))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,False
29,31,29,0.6148218962406883,0.17315325,"POLYGON ((155 316, 155 341, 129 341, 129 316, 155 316))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,True
30,26,30,0.0,0.27054876,"POLYGON ((401 585, 401 607, 384 607, 384 585, 401 585))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,False
31,25,31,0.0,0.2933333,"POLYGON ((376 501, 376 526, 348 526, 348 501, 376 501))",Tree,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,False
32,,32,0.0,,"POLYGON ((309 588, 309 600, 297 600, 297 588, 309 588))",,Tree,90d71f1f-zz_23_676547.81_4848424.28.png,False
0,1,0,0.8832442991863768,0.98279864,"POLYGON ((296 234, 296 317, 209 317, 209 234, 296 234))",Tree,Tree,a40d351c-patch_134600_25000.png,True
1,2,1,0.8352767801772906,0.9795746,"POLYGON ((224 60, 224 135, 155 135, 155 60, 224 60))",Tree,Tree,a40d351c-patch_134600_25000.png,True
2,8,2,0.816409886035022,0.9272834,"POLYGON ((523 41, 523 81, 483 81, 483 41, 523 41))",Tree,Tree,a40d351c-patch_134600_25000.png,True
3,22,3,0.8500358674416613,0.42596826,"POLYGON ((528 251, 528 280, 498 280, 498 251, 528 251))",Tree,Tree,a40d351c-patch_134600_25000.png,True
4,15,4,0.7534404141917709,0.7497871,"POLYGON ((509 298, 509 329, 474 329, 474 298, 509 298))",Tree,Tree,a40d351c-patch_134600_25000.png,True
5,4,5,0.822043110579641,0.9661338,"POLYGON ((609 191, 609 253, 547 253, 547 191, 609 191))",Tree,Tree,a40d351c-patch_134600_25000.png,True
6,23,6,0.0,0.41231677,"POLYGON ((559 166, 559 184, 534 184, 534 166, 559 166))",Tree,Tree,a40d351c-patch_134600_25000.png,False
7,21,7,0.6597223516871917,0.549767,"POLYGON ((557 131, 557 159, 524 159, 524 131, 557 131))",Tree,Tree,a40d351c-patch_134600_25000.png,True
8,11,8,0.7844208400628068,0.88537264,"POLYGON ((553 85, 553 122, 516 122, 516 85, 553 85))",Tree,Tree,a40d351c-patch_134600_25000.png,True
9,5,9,0.7850728189161121,0.9475395,"POLYGON ((799 327, 799 368, 757 368, 757 327, 799 327))",Tree,Tree,a40d351c-patch_134600_25000.png,True
10,19,10,0.6656976276358803,0.5996461,"POLYGON ((733 274, 733 304, 704 304, 704 274, 733 274))",Tree,Tree,a40d351c-patch_134600_25000.png,True
11,3,11,0.8192167220491774,0.96907604,"POLYGON ((654 365, 654 431, 592 431, 592 365, 654 365))",Tree,Tree,a40d351c-patch_134600_25000.png,True
12,10,12,0.7460316706790505,0.904204,"POLYGON ((753 486, 753 548, 705 548, 705 486, 753 486))",Tree,Tree,a40d351c-patch_134600_25000.png,True
13,17,13,0.8406635443850136,0.7143121,"POLYGON ((721 546, 721 583, 685 583, 685 546, 721 546))",Tree,Tree,a40d351c-patch_134600_25000.png,True
14,12,14,0.8852675570691176,0.81707203,"POLYGON ((676 492, 676 528, 636 528, 636 492, 676 492))",Tree,Tree,a40d351c-patch_134600_25000.png,True
15,16,15,0.8335507354740884,0.745758,"POLYGON ((719 453, 719 498, 665 498, 665 453, 719 453))",Tree,Tree,a40d351c-patch_134600_25000.png,True
16,7,16,0.9452381702537388,0.9306098,"POLYGON ((748 396, 748 438, 699 438, 699 396, 748 396))",Tree,Tree,a40d351c-patch_134600_25000.png,True
17,24,17,0.0,0.3839017,"POLYGON ((710 321, 710 341, 692 341, 692 321, 710 321))",Tree,Tree,a40d351c-patch_134600_25000.png,False
18,6,18,0.8625121427299143,0.9397223,"POLYGON ((565 397, 565 487, 497 487, 497 397, 565 397))",Tree,Tree,a40d351c-patch_134600_25000.png,True
19,0,19,0.9577357511861664,0.993087,"POLYGON ((504 666, 504 795, 346 795, 346 666, 504 666))",Tree,Tree,a40d351c-patch_134600_25000.png,True
20,20,20,0.6880897355352266,0.5626666,"POLYGON ((364 244, 364 274, 335 274, 335 244, 364 244))",Tree,Tree,a40d351c-patch_134600_25000.png,True
21,29,21,0.37852308723631195,0.28539366,"POLYGON ((329 208, 329 229, 309 229, 309 208, 329 208))",Tree,Tree,a40d351c-patch_134600_25000.png,False
22,18,22,0.777098550398437,0.68713987,"POLYGON ((160 422, 160 463, 107 463, 107 422, 160 422))",Tree,Tree,a40d351c-patch_134600_25000.png,True
23,13,23,0.7159177440918828,0.80982316,"POLYGON ((160 465, 160 524, 80 524, 80 465, 160 465))",Tree,Tree,a40d351c-patch_134600_25000.png,True
24,14,24,0.8172941383178881,0.78608507,"POLYGON ((584 690, 584 739, 536 739, 536 690, 584 690))",Tree,Tree,a40d351c-patch_134600_25000.png,True
25,9,25,0.9486668486548441,0.90563565,"POLYGON ((199 372, 199 425, 144 425, 144 372, 199 372))",Tree,Tree,a40d351c-patch_134600_25000.png,True
0,0,0,0.985003983752029,0.9837617,"POLYGON ((798 163, 798 272, 688 272, 688 163, 798 163))",Tree,Tree,a44855a1-patch_67600_32000.png,True
1,1,1,0.8485004752271292,0.9823691,"POLYGON ((509 602, 509 730, 395 730, 395 602, 509 602))",Tree,Tree,a44855a1-patch_67600_32000.png,True
2,2,2,0.9687431898386715,0.98057806,"POLYGON ((204 541, 204 606, 127 606, 127 541, 204 541))",Tree,Tree,a44855a1-patch_67600_32000.png,True
3,3,3,0.8176967598386673,0.98020923,"POLYGON ((84 685, 84 763, 2 763, 2 685, 84 685))",Tree,Tree,a44855a1-patch_67600_32000.png,True
4,4,4,0.6168334312497569,0.97449195,"POLYGON ((205 206, 205 250, 157 250, 157 206, 205 206))",Tree,Tree,a44855a1-patch_67600_32000.png,True
5,5,5,0.9681635468157106,0.9633978,"POLYGON ((602 399, 602 479, 509 479, 509 399, 602 399))",Tree,Tree,a44855a1-patch_67600_32000.png,True
6,6,6,0.9596370634769414,0.9569339,"POLYGON ((48 516, 48 558, 5 558, 5 516, 48 516))",Tree,Tree,a44855a1-patch_67600_32000.png,True
7,7,7,0.9728084055814655,0.93958247,"POLYGON ((539 478, 539 529, 480 529, 480 478, 539 478))",Tree,Tree,a44855a1-patch_67600_32000.png,True
8,8,8,0.8082323153944411,0.9364781,"POLYGON ((575 309, 575 412, 459 412, 459 309, 575 309))",Tree,Tree,a44855a1-patch_67600_32000.png,True
9,9,9,0.637797166660616,0.9217829,"POLYGON ((785 450, 785 515, 716 515, 716 450, 785 450))",Tree,Tree,a44855a1-patch_67600_32000.png,True
10,10,10,0.5842119761168485,0.9112263,"POLYGON ((304 164, 304 206, 258 206, 258 164, 304 164))",Tree,Tree,a44855a1-patch_67600_32000.png,True
11,11,11,0.8025038886943684,0.9080145,"POLYGON ((161 144, 161 189, 111 189, 111 144, 161 144))",Tree,Tree,a44855a1-patch_67600_32000.png,True
12,12,12,0.6875719009318942,0.87068546,"POLYGON ((188 44, 188 87, 138 87, 138 44, 188 44))",Tree,Tree,a44855a1-patch_67600_32000.png,True
13,13,13,0.7934414820486406,0.8440437,"POLYGON ((695 338, 695 455, 577 455, 577 338, 695 338))",Tree,Tree,a44855a1-patch_67600_32000.png,True
14,14,14,0.7917290362992812,0.83468634,"POLYGON ((426 742, 426 799, 338 799, 338 742, 426 742))",Tree,Tree,a44855a1-patch_67600_32000.png,True
15,15,15,0.8266375041566789,0.810964,"POLYGON ((300 234, 300 266, 255 266, 255 234, 300 234))",Tree,Tree,a44855a1-patch_67600_32000.png,True
16,16,16,0.6282879442613575,0.8087807,"POLYGON ((795 273, 795 335, 727 335, 727 273, 795 273))",Tree,Tree,a44855a1-patch_67600_32000.png,True
17,17,17,0.9520791595166178,0.7939966,"POLYGON ((664 101, 664 135, 631 135, 631 101, 664 101))",Tree,Tree,a44855a1-patch_67600_32000.png,True
18,18,18,0.45687088515404495,0.72337246,"POLYGON ((651 46, 651 120, 568 120, 568 46, 651 46))",Tree,Tree,a44855a1-patch_67600_32000.png,True
19,19,19,0.6653635696240381,0.6640901,"POLYGON ((280 273, 280 306, 250 306, 250 273, 280 273))",Tree,Tree,a44855a1-patch_67600_32000.png,True
20,20,20,0.7755891778572457,0.6477796,"POLYGON ((133 231, 133 260, 99 260, 99 231, 133 231))",Tree,Tree,a44855a1-patch_67600_32000.png,True
21,21,21,0.8534039701352765,0.62635154,"POLYGON ((262 97, 262 125, 230 125, 230 97, 262 97))",Tree,Tree,a44855a1-patch_67600_32000.png,True
22,22,22,0.8288488895467815,0.5495338,"POLYGON ((739 380, 739 448, 683 448, 683 380, 739 380))",Tree,Tree,a44855a1-patch_67600_32000.png,True
23,23,23,0.8167508736809619,0.5270947,"POLYGON ((87 776, 87 799, 28 799, 28 776, 87 776))",Tree,Tree,a44855a1-patch_67600_32000.png,True
24,24,24,0.8131119475583546,0.48478287,"POLYGON ((232 44, 232 80, 193 80, 193 44, 232 44))",Tree,Tree,a44855a1-patch_67600_32000.png,True
25,25,25,0.34003842326693706,0.4470691,"POLYGON ((545 85, 545 127, 483 127, 483 85, 545 85))",Tree,Tree,a44855a1-patch_67600_32000.png,False
26,26,26,0.7003472304907262,0.4378827,"POLYGON ((539 177, 539 208, 511 208, 511 177, 539 177))",Tree,Tree,a44855a1-patch_67600_32000.png,True
27,27,27,0.7959992058111198,0.4189507,"POLYGON ((524 548, 524 583, 485 583, 485 548, 524 548))",Tree,Tree,a44855a1-patch_67600_32000.png,True
28,28,28,0.7709264312019004,0.4167263,"POLYGON ((799 338, 799 380, 781 380, 781 338, 799 338))",Tree,Tree,a44855a1-patch_67600_32000.png,True
29,29,29,0.7247826833686303,0.3561981,"POLYGON ((226 90, 226 130, 184 130, 184 90, 226 90))",Tree,Tree,a44855a1-patch_67600_32000.png,True
30,30,30,0.7417784418933737,0.35241023,"POLYGON ((638 0, 638 36, 548 36, 548 0, 638 0))",Tree,Tree,a44855a1-patch_67600_32000.png,True
31,31,31,0.6516467317819704,0.32069677,"POLYGON ((538 130, 538 158, 499 158, 499 130, 538 130))",Tree,Tree,a44855a1-patch_67600_32000.png,True
32,32,32,0.8784291618602521,0.3144843,"POLYGON ((799 700, 799 727, 784 727, 784 700, 799 700))",Tree,Tree,a44855a1-patch_67600_32000.png,True
33,,33,0.0,,"POLYGON ((243 219, 243 252, 207 252, 207 219, 243 219))",,Tree,a44855a1-patch_67600_32000.png,False
34,,34,0.0,,"POLYGON ((432 686, 432 739, 357 739, 357 686, 432 686))",,Tree,a44855a1-patch_67600_32000.png,False
35,,35,0.0,,"POLYGON ((312 206, 312 231, 268 231, 268 206, 312 206))",,Tree,a44855a1-patch_67600_32000.png,False
36,,36,0.0,,"POLYGON ((145 188, 145 227, 100 227, 100 188, 145 188))",,Tree,a44855a1-patch_67600_32000.png,False
